Branch,Efficiency_Score,Status
Oracle and Golder Ranch Rd Branch,0.999782,Inefficient
Aloha Branch,0.999781,Inefficient
Mohegan Lake Fsc Branch,0.999781,Inefficient
North Decatur Corners Branch,0.999781,Inefficient
Pickerington North Banking Ctr. Branch,0.999781,Inefficient
Southport and Bluff Branch,0.999781,Inefficient
LA Frontera Banking Center Branch,0.99978,Inefficient
Southway Plaza Branch,0.99978,Inefficient
Sunbury Branch,0.99978,Inefficient
Valley Fair Branch,0.99978,Inefficient
Baker Branch,0.999779,Inefficient
Beach and Golden Triangle Branch,0.999779,Inefficient
Bethel Branch,0.999779,Inefficient
Fort Pierce Branch,0.999779,Inefficient
Fourth Street Branch,0.999779,Inefficient
